user_id,employee_name,role,email,days_active,total_lifetime_hours,total_activity,login_count,login_per_day,unique_pcs,avg_active_hours_per_day,actions_per_hour,after_hours_activity,weekend_activity,file_access_count,file_copy_count,removable_uploads,removable_downloads,decoy_access_count,avg_email_size,email_sent_count,total_email_size,attachment_count,activity_per_day,device_activity_count,device_connect_count,device_disconnect_count,device_unique_pcs,device_after_hours,device_weekend_usage,device_usage_per_day,connect_disconnect_ratio,avg_session_duration,window_7_days,window_30_days,baseline_90_days,drift_7d_vs_30d,drift_30d_vs_90d,file_access_per_day,file_copy_per_day,email_sent_per_day,usb_upload_per_day,usb_download_per_day,device_connect_per_day,device_disconnect_per_day,decoy_access_per_day,anomaly_score,prediction,risk_score,explanation,prediction_label,severity
JCL0446,Josiah Colorado Lyons,NursePractitioner,Josiah.Colorado.Lyons@dtaa.com,366.0,3558.0,29000.0,714.0,1.95,12.0,9.72,8.15,536.0,16.0,8694.0,3928.0,2957.0,4943.0,794.0,266091.12,1117.0,297223780.0,285.0,79.23,6111.0,3064.0,3047.0,1.0,721.0,0.0,16.7,1.01,0.24618135,277,1142,3362,1.04,1.02,23.75,10.73,3.05,8.08,13.51,8.37,8.33,2.17,-0.726948618888855,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, file copy per day, usb upload per day).",Anomaly,Critical
KDC0444,Kelly Derek Conway,Attorney,Kelly.Derek.Conway@dtaa.com,366.0,3781.0,29920.0,391.0,1.07,26.0,10.33,7.91,737.0,4.0,9537.0,3290.0,2963.0,5293.0,1281.0,720356.06,1414.0,1018583500.0,929.0,81.75,6295.0,3157.0,3138.0,1.0,995.0,36.0,17.2,1.01,0.28231013,287,1205,3669,1.02,0.99,26.06,8.99,3.86,8.1,14.46,8.63,8.57,3.5,-0.678267240524292,-1,100.0,"Unusual behavior pattern detected (file access per day, usb download per day, activity per day).",Anomaly,Critical
DNM0275,Derek Noble Mason,HardwareEngineer,Derek.Noble.Mason@dtaa.com,374.0,3499.0,30049.0,453.0,1.21,76.0,9.36,8.59,397.0,34.0,9165.0,4133.0,3090.0,5208.0,867.0,230318.95,1145.0,263715200.0,259.0,80.34,6458.0,3237.0,3221.0,1.0,830.0,242.0,17.27,1.0,0.26204517,309,1217,3571,1.09,1.02,24.51,11.05,3.06,8.26,13.93,8.66,8.61,2.32,-0.7194153666496277,-1,100.0,"Unusual behavior pattern detected (file copy per day, usb download per day, file access per day).",Anomaly,Critical
MEW1406,Malik Emerson Whitfield,MechanicalEngineer,Malik.Emerson.Whitfield@dtaa.com,356.0,3158.0,29512.0,657.0,1.85,18.0,8.87,9.35,378.0,0.0,8918.0,4062.0,3045.0,5086.0,787.0,185705.58,1225.0,227489330.0,215.0,82.9,6141.0,3077.0,3064.0,1.0,1006.0,0.0,17.25,1.0,0.2236741,275,1155,3482,1.02,1.0,25.05,11.41,3.44,8.55,14.29,8.64,8.61,2.21,-0.7268098592758179,-1,100.0,"Unusual behavior pattern detected (after-hours device usage, file copy per day, usb download per day).",Anomaly,Critical
AKD0272,Aphrodite Kalia Dorsey,AdministrativeAssistant,Aphrodite.Kalia.Dorsey@dtaa.com,357.0,2361.0,18624.0,740.0,2.07,81.0,6.61,7.89,422.0,2.0,6475.0,2908.0,2242.0,3624.0,609.0,630562.0,1341.0,845583700.0,939.0,52.17,872.0,436.0,436.0,1.0,131.0,0.0,2.44,1.0,0.5130148,182,747,2236,1.04,1.0,18.14,8.15,3.76,6.28,10.15,1.22,1.22,1.71,-0.6879093050956726,-1,100.0,"Unusual behavior pattern detected (file copy per day, usb download per day, usb upload per day).",Anomaly,Critical
PNH1444,Porter Nathaniel Harding,SystemsEngineer,Porter.Nathaniel.Harding@dtaa.com,427.0,3594.0,34126.0,427.0,1.0,1.0,8.42,9.5,198.0,126.0,10649.0,4830.0,3646.0,6092.0,911.0,188960.92,1467.0,277205660.0,248.0,79.92,6817.0,3416.0,3401.0,1.0,40.0,1024.0,15.96,1.0,0.25022894,305,1207,3759,1.08,0.96,24.94,11.31,3.44,8.54,14.27,8.0,7.96,2.13,-0.7307440042495728,-1,100.0,"Unusual behavior pattern detected (weekend device usage, file copy per day, usb upload per day).",Anomaly,Critical
SDH2394,Shaeleigh Darryl Hill,ChiefEngineer,Shaeleigh.Darryl.Hill@dtaa.com,490.0,4850.0,42645.0,596.0,1.22,96.0,9.9,8.79,528.0,298.0,13882.0,4339.0,5296.0,6718.0,1868.0,658166.25,2897.0,1906707700.0,1866.0,87.03,8389.0,4206.0,4183.0,1.0,1558.0,2182.0,17.12,1.01,0.26750478,371,1682,5465,0.94,0.92,28.33,8.86,5.91,10.81,13.71,8.58,8.54,3.81,-0.7130957841873169,-1,100.0,"Unusual behavior pattern detected (weekend device usage, after-hours device usage, usb upload per day).",Anomaly,Critical
AGF0742,Austin Gregory Flores,ComputerProgrammer,Austin.Gregory.Flores@dtaa.com,378.0,3200.0,32309.0,756.0,2.0,36.0,8.47,10.1,545.0,33.0,10494.0,3643.0,4153.0,5311.0,1030.0,553816.94,1117.0,618613500.0,673.0,85.47,6290.0,3158.0,3132.0,1.0,1412.0,84.0,16.64,1.01,0.20752315,338,1348,3756,1.07,1.08,27.76,9.64,2.96,10.99,14.05,8.35,8.29,2.72,-0.7490127086639404,-1,100.0,"Unusual behavior pattern detected (usb upload per day, file access per day, activity per day).",Anomaly,Critical
HGH0727,Haley Gemma Holcomb,SoftwareQualityEngineer,Haley.Gemma.Holcomb@dtaa.com,435.0,3825.0,11153.0,435.0,1.0,1.0,8.79,2.92,446.0,136.0,1009.0,449.0,314.0,596.0,99.0,208027.12,432.0,89867720.0,90.0,25.64,7472.0,3746.0,3726.0,1.0,167.0,1174.0,17.18,1.01,0.25956044,175,635,1783,1.18,1.07,2.32,1.03,0.99,0.72,1.37,8.61,8.57,0.23,-0.7287483811378479,-1,100.0,"Unusual behavior pattern detected (weekend device usage, device disconnect per day, daily device usage frequency).",Anomaly,Critical
CEC1352,Christine Elaine Christian,Scientist,Christine.Elaine.Christian@dtaa.com,375.0,2955.0,28684.0,433.0,1.15,59.0,7.88,9.71,384.0,20.0,8780.0,3525.0,2987.0,4972.0,821.0,208115.94,1154.0,240165800.0,239.0,76.49,6449.0,3233.0,3216.0,1.0,743.0,170.0,17.2,1.01,0.21980557,294,1131,3441,1.11,0.99,23.41,9.4,3.08,7.97,13.26,8.62,8.58,2.19,-0.7187693119049072,-1,100.0,"Unusual behavior pattern detected (usb upload per day, intensity of actions per hour, file copy per day).",Anomaly,Critical
LRS2996,Lois Rhonda Snow,Manager,Lois.Rhonda.Snow@dtaa.com,357.0,3267.0,29119.0,697.0,1.95,47.0,9.15,8.91,382.0,1.0,8621.0,3837.0,2868.0,4967.0,786.0,596101.44,1592.0,948993540.0,953.0,81.57,6155.0,3086.0,3069.0,1.0,728.0,0.0,17.24,1.01,0.22540553,295,1221,3658,1.03,1.0,24.15,10.75,4.46,8.03,13.91,8.64,8.6,2.2,-0.6641438603401184,-1,99.33999633789062,"Unusual behavior pattern detected (file copy per day, usb download per day, file access per day).",Anomaly,Critical
HNB2571,Hall Norman Blackburn,WebDeveloper,Hall.Norman.Blackburn@dtaa.com,359.0,3319.0,29104.0,394.0,1.1,15.0,9.25,8.77,407.0,6.0,8940.0,4061.0,3064.0,5062.0,814.0,563106.6,1077.0,606465860.0,689.0,81.07,6099.0,3059.0,3040.0,1.0,419.0,0.0,16.99,1.01,0.258224,277,1126,3386,1.05,1.0,24.9,11.31,3.0,8.53,14.1,8.52,8.47,2.27,-0.7094628214836121,-1,98.88999938964844,"Unusual behavior pattern detected (file copy per day, usb download per day, activity per day).",Anomaly,Critical
RPS3617,Ronan Paki Schultz,StockroomClerk,Ronan.Paki.Schultz@dtaa.com,358.0,2720.0,28242.0,389.0,1.09,13.0,7.6,10.38,402.0,2.0,9007.0,4011.0,3213.0,4972.0,822.0,1158018.1,119.0,137804160.0,149.0,78.89,6129.0,3071.0,3058.0,1.0,903.0,0.0,17.12,1.0,0.20677811,220,957,2823,0.98,1.02,25.16,11.2,0.33,8.97,13.89,8.58,8.54,2.3,-0.7065324187278748,-1,98.7699966430664,"Unusual behavior pattern detected (after-hours device usage, device disconnect per day, daily device usage frequency).",Anomaly,Critical
CHM1561,Charity Holly Mcclure,ProductionLineWorker,Charity.Holly.Mcclure@dtaa.com,472.0,4559.0,37092.0,471.0,1.0,1.0,9.66,8.14,943.0,224.0,11570.0,5253.0,3864.0,6680.0,1026.0,922194.9,157.0,144784590.0,165.0,78.58,8154.0,4088.0,4066.0,1.0,1176.0,1956.0,17.28,1.01,0.28205004,320,1266,3829,1.08,0.99,24.51,11.13,0.33,8.19,14.15,8.66,8.61,2.17,-0.719092845916748,-1,98.33000183105469,"Unusual behavior pattern detected (weekend device usage, after-hours device usage, activity per day).",Anomaly,Critical
BRG3267,Bradley Robert Guthrie,StockroomClerk,Bradley.Robert.Guthrie@dtaa.com,367.0,2789.0,27763.0,433.0,1.18,1.0,7.6,9.95,502.0,17.0,8868.0,4054.0,3016.0,5080.0,772.0,29638.3,121.0,3586234.0,0.0,75.65,5689.0,2848.0,2841.0,1.0,611.0,0.0,15.5,1.0,0.22516985,208,921,2789,0.97,0.99,24.16,11.05,0.33,8.22,13.84,7.76,7.74,2.1,-0.7023175954818726,-1,97.6500015258789,"Unusual behavior pattern detected (device disconnect per day, daily device usage frequency, device connect per day).",Anomaly,Critical
OJT3599,Odysseus Jonathan Tanner,ComputerScientist,Odysseus.Jonathan.Tanner@dtaa.com,109.0,834.0,8064.0,205.0,1.88,1.0,7.65,9.67,131.0,5.0,2440.0,957.0,818.0,1382.0,240.0,200110.77,304.0,60833670.0,71.0,73.98,1827.0,916.0,911.0,1.0,258.0,0.0,16.76,1.01,0.19049512,248,1157,3300,0.92,1.05,22.39,8.78,2.79,7.5,12.68,8.4,8.36,2.2,-0.6778277158737183,-1,97.16999816894531,"Unusual behavior pattern detected (intensity of actions per hour, usb download per day, file access per day).",Anomaly,Critical
NQO2712,Neil Quentin Ortiz,ElectricalEngineer,Neil.Quentin.Ortiz@dtaa.com,356.0,2719.0,29097.0,684.0,1.92,42.0,7.64,10.7,373.0,0.0,8815.0,3997.0,3010.0,5020.0,785.0,587117.9,1073.0,629977500.0,674.0,81.73,6125.0,3069.0,3056.0,1.0,1536.0,0.0,17.21,1.0,0.1960506,271,1118,3376,1.04,0.99,24.76,11.23,3.01,8.46,14.1,8.62,8.58,2.21,-0.7022696137428284,-1,97.16000366210938,"Unusual behavior pattern detected (file copy per day, intensity of actions per hour, usb upload per day).",Anomaly,Critical
FAL1867,Francesca Aileen Lawson,HardwareEngineer,Francesca.Aileen.Lawson@dtaa.com,356.0,2979.0,29093.0,632.0,1.78,1.0,8.37,9.77,355.0,0.0,8873.0,3940.0,3044.0,5018.0,811.0,492136.7,1075.0,529046940.0,628.0,81.72,6156.0,3082.0,3074.0,1.0,1201.0,0.0,17.29,1.0,0.21287318,279,1135,3423,1.05,0.99,24.92,11.07,3.02,8.55,14.1,8.66,8.63,2.28,-0.7051343321800232,-1,96.20999908447266,"Unusual behavior pattern detected (after-hours device usage, file copy per day, usb download per day).",Anomaly,Critical
